Country,Package Type,Data (Go),Minutes Received,Minutes to Djezzy,SMS Sent,Validity (Days),Price (DA),USSD Code,App Android Link,App iOS Link,Call Center,Store Link
Espagne,Internet & Voix,2,30.0,120.0,20.0,30,2000,*720*11#,https://play.google.com/store/apps/details?id=com.djezzy.internet,https://itunes.apple.com/sa/app/djezzy-internet/id1262903573,777,https://www.djezzy.dz/nos-boutiques/
Espagne,Internet,1,,,,7,1200,*720*11#,https://play.google.com/store/apps/details?id=com.djezzy.internet,https://itunes.apple.com/sa/app/djezzy-internet/id1262903573,777,https://www.djezzy.dz/nos-boutiques/
Turquie,Internet & Voix,1,10.0,30.0,10.0,7,1000,*720*11#,https://play.google.com/store/apps/details?id=com.djezzy.internet,https://itunes.apple.com/sa/app/djezzy-internet/id1262903573,777,https://www.djezzy.dz/nos-boutiques/
Turquie,Internet & Voix,2,30.0,180.0,30.0,15,2000,*720*11#,https://play.google.com/store/apps/details?id=com.djezzy.internet,https://itunes.apple.com/sa/app/djezzy-internet/id1262903573,777,https://www.djezzy.dz/nos-boutiques/
Turquie,Internet & Voix,5,60.0,480.0,60.0,30,4000,*720*11#,https://play.google.com/store/apps/details?id=com.djezzy.internet,https://itunes.apple.com/sa/app/djezzy-internet/id1262903573,777,https://www.djezzy.dz/nos-boutiques/
Turquie,Internet,2,,,,15,1200,*720*11#,https://play.google.com/store/apps/details?id=com.djezzy.internet,https://itunes.apple.com/sa/app/djezzy-internet/id1262903573,777,https://www.djezzy.dz/nos-boutiques/
Turquie,Internet,5,,,,30,3000,*720*11#,https://play.google.com/store/apps/details?id=com.djezzy.internet,https://itunes.apple.com/sa/app/djezzy-internet/id1262903573,777,https://www.djezzy.dz/nos-boutiques/
France,Internet & Voix,1,10.0,10.0,20.0,7,1000,*720*11#,https://play.google.com/store/apps/details?id=com.djezzy.internet,https://itunes.apple.com/sa/app/djezzy-internet/id1262903573,777,https://www.djezzy.dz/nos-boutiques/
France,Internet & Voix,2,20.0,50.0,20.0,15,2000,*720*11#,https://play.google.com/store/apps/details?id=com.djezzy.internet,https://itunes.apple.com/sa/app/djezzy-internet/id1262903573,777,https://www.djezzy.dz/nos-boutiques/
France,Internet & Voix,8,40.0,30.0,40.0,30,5000,*720*11#,https://play.google.com/store/apps/details?id=com.djezzy.internet,https://itunes.apple.com/sa/app/djezzy-internet/id1262903573,777,https://www.djezzy.dz/nos-boutiques/
France,Internet,2,,,,7,1000,*720*11#,https://play.google.com/store/apps/details?id=com.djezzy.internet,https://itunes.apple.com/sa/app/djezzy-internet/id1262903573,777,https://www.djezzy.dz/nos-boutiques/
France,Internet,5,,,,30,2000,*720*11#,https://play.google.com/store/apps/details?id=com.djezzy.internet,https://itunes.apple.com/sa/app/djezzy-internet/id1262903573,777,https://www.djezzy.dz/nos-boutiques/
